Serial No,Location,Strike,Dip,Sence,Thickness(cm),
,,338,85,W,1.1000000000000001,Phyllite
,Ch-80,345,52,W,27,Meta basalt
,,175,70,E,5,Meta basalt
,,155,85,W,0.59999999999999998,Meta basalt
,,135,69,W,1,Meta basalt
,,325,65,W,5.2000000000000002,Meta basalt
,,330,70,W,4.5,Meta basalt
,,335,70,W,4.2000000000000002,Meta basalt
,,335,55,W,3,Meta basalt
,,325,55,W,13,Meta basalt
,,255,56,N,13,Meta basalt
,,165,75,W,1.5,Meta basalt
,,155,52,W,2.1000000000000001,Meta basalt
,,285,35,W,1,Meta basalt
,,345,55,W,12.5,Meta basalt
,,240,40,N,9,Meta basalt
,,265,85,N,0.40000000000000002,Meta basalt
,,5,85,E,1.2,Meta basalt
,,10,80,E,1.7,Meta basalt
,,318,90,W,0.29999999999999999,Meta basalt
,,25,49,W,0.59999999999999998,Meta basalt
,,10,86,W,3.3999999999999999,Meta basalt
,,85,75,S,1,Meta basalt
,,335,64,W,1.1000000000000001,Meta basalt
,,350,82,E,0.40000000000000002,Meta basalt
,,272,72,S,0.40000000000000002,Meta basalt
,,0,90,,0.69999999999999996,Meta basalt
,,10,55,E,0.40000000000000002,Meta basalt
,,340,70,W,0.40000000000000002,Meta basalt
,,320,55,W,1,Meta basalt
,,350,48,W,10.5,Meta basalt
,,330,65,W,0.5,Meta basalt
,,355,75,W,0.29999999999999999,Meta basalt
,,330,65,W,6,Meta basalt
,,330,65,W,0.29999999999999999,Meta basalt
,,335,52,W,11.5,Meta basalt
,,350,80,W,0.59999999999999998,Meta basalt
,,10,40,W,1.2,Meta basalt
,,340,45,W,1.3999999999999999,Meta basalt
,,345,52,W,1,Meta basalt
,,335,80,E,0.59999999999999998,Meta basalt
,,320,53,W,3,Meta basalt
,,325,75,W,21.5,Meta basalt
,,300,60,S,4.5,Meta basalt
,,305,62,W,4.5,Meta basalt
,,325,75,W,0.90000000000000002,Meta basalt
,,300,70,W,0.5,Meta basalt
,,300,70,W,1.5,Meta basalt
,,300,80,W,1.6000000000000001,Meta basalt
,,12,28,W,1.3999999999999999,Meta basalt
,,310,70,W,0.40000000000000002,Meta basalt
,,310,70,W,0.20000000000000001,Meta basalt
,,295,60,S,2.6000000000000001,Meta basalt
,,335,90,W,0.40000000000000002,Meta basalt
,,135,75,W,0.90000000000000002,Meta basalt
,,305,72,W,4.0999999999999996,Meta basalt
,,135,75,W,2.6000000000000001,Meta basalt
,,260,28,S,1.5,Meta basalt
,,280,80,S,2,Meta basalt
,,295,68,S,2.5,Meta basalt
,,205,70,N,21.5,Meta basalt
,,205,70,N,1,Meta basalt
,,205,70,N,3,Meta basalt
,,25,65,W,16.5,Meta basalt
,,205,70,N,5.5,Meta basalt
,Ch-81,225,55,W,17,Meta basalt
,,35,75,W,5,Meta basalt
,,210,75,W,9.5,Meta basalt
,,35,85,W,2,Meta basalt
,,220,52,W,0.40000000000000002,Meta basalt
,,78,70,N,5,Meta basalt
